03,003,"Baldwin County, AL",30.5677527,-87.7324392,233420
05,005,"Barbour County, AL",31.8589311,-85.4032078,24877
07,007,"Bibb County, AL",32.971079,-87.1227088,22251
09,009,"Blount County, AL",33.9510169,-86.5702002,59077
11,011,"Bullock County, AL",32.09929,-85.7091657,10328
13,013,"Butler County, AL",31.7340713,-86.6754793,18981
15,015,"Calhoun County, AL",33.7514505,-85.8315666,116162
17,017,"Chambers County, AL",32.8901658,-85.3866953,34612
19,019,"Cherokee County, AL",34.1142554,-85.6004514,25069
21,021,"Chilton County, AL",32.8522565,-86.7032845,45140
23,023,"Choctaw County, AL",31.9908095,-88.2821326,12669
25,025,"Clarke County, AL",31.659134,-87.8192486,23058
27,027,"Clay County, AL",33.2423393,-85.819651,14209
29,029,"Cleburne County, AL",33.6506958,-85.5017359,15144
31,031,"Coffee County, AL",31.3629619,-85.9870669,53559
33,033,"Colbert County, AL",34.6473396,-87.7921769,57270
35,035,"Conecuh County, AL",31.3966783,-86.9437104,11576
37,037,"Coosa County, AL",32.9181762,-86.2327497,10329
39,039,"Covington County, AL",31.196549,-86.4597236,37542
41,041,"Crenshaw County, AL",31.6809362,-86.3244009,13205
43,043,"Cullman County, AL",34.1335332,-86.8779268,88284
45,045,"Dale County, AL",31.3940969,-85.623763,49455
47,047,"Dallas County, AL",32.3117968,-87.1046643,38326
49,049,"DeKalb County, AL",34.4524349,-85.7662118,71680
51,051,"Elmore County, AL",32.5801231,-86.125195,87694
53,053,"Escambia County, AL",31.1168422,-87.1070947,36755
55,055,"Etowah County, AL",34.0371404,-86.022147,103348
57,057,"Fayette County, AL",33.7303493,-87.7419088,16297
59,059,"Franklin County, AL",34.440962,-87.8339064,32011
61,061,"Geneva County, AL",31.0862933,-85.803014,26647
63,063,"Greene County, AL",32.8620514,-87.9915392,7706
65,065,"Hale County, AL",32.7412417,-87.6561668,14742
67,067,"Henry County, AL",31.4838041,-85.2447377,17282
69,069,"Houston County, AL",31.1355603,-85.2654592,107040
71,071,"Jackson County, AL",34.7692447,-85.9867941,52618
73,073,"Jefferson County, AL",33.5228184,-86.9164513,672265
75,075,"Lamar County, AL",33.7490016,-88.1003689,13885
77,077,"Lauderdale County, AL",34.9049555,-87.6747398,94329
79,079,"Lawrence County, AL",34.4776367,-87.3017331,33116
81,081,"Lee County, AL",32.5814796,-85.3077038,175126
87,087,"Macon County, AL",32.366606,-85.6660307,19198
89,089,"Madison County, AL",34.7736807,-86.5675095,389781
91,091,"Marengo County, AL",32.201002,-87.7569365,19180
93,093,"Marion County, AL",34.1128132,-87.8544031,29203
95,095,"Marshall County, AL",34.3396046,-86.3301801,97923
97,097,"Mobile County, AL",30.6488242,-88.194642,413878
99,099,"Monroe County, AL",31.5593935,-87.3781004,19816
01,101,"Montgomery County, AL",32.1672192,-86.1999118,228132
03,103,"Morgan County, AL",34.4296848,-86.8529584,123102
05,105,"Perry County, AL",32.6421387,-87.2876639,8479
07,107,"Pickens County, AL",33.2948421,-88.1244034,18925
09,109,"Pike County, AL",31.7615793,-85.9259465,32997
